"EmployerName","EmployerId","Address","PostCode","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","DueDate","DateSubmitted"
"KGB CLEANING SOUTH WEST LIMITED","17111","10 Hillside, Burghfield Common, Reading, Berkshire, RG7 3BQ","RG7 3BQ","06941723","81210,
81299","52.5","47.5","10","23","33","67","48.1","51.9","47.8","52.2","47.7","52.3","56.5","43.5","","Charlotte Summers (Director of People)","1000 to 4999","KGB CLEANING SOUTH WEST LIMITED","False","2024/04/05 00:00:00","2023/04/06 09:36:13"
"L.E.A.D. ACADEMY TRUST","7394","The Old Pumphouse, 5 The Ropewalk, Nottingham, NG1 5DU","NG1 5DU","08296921","85200,
85310","21","30","","","0","0","7.59","92.41","11.69","88.31","21.67","78.33","25.92","74.08","https://www.leadacademytrust.co.uk/policies/gender_pay","","1000 to 4999","L.E.A.D. ACADEMY TRUST","False","2024/03/31 00:00:00","2023/04/05 14:32:29"
"LIFE Education Trust","20604","Brentwood Road, Romford, Essex, UK, RM1 2RR","RM1 2RR","","","30.17","42.43","","","0","0","2.78","97.22","12.5","87.5","12.5","87.5","29.17","70.83","","","250 to 499","LIFE Education Trust","False","2024/03/31 00:00:00","2023/03/31 06:43:21"
"LOVEHONEY LIMITED","20300","100 Locksbrook Road, Bath, BA1 3EN","BA1 3EN","04637868","47990","6.38","0","12.59","-6.5","88.16","80.83","54.65","45.35","34.88","65.12","37.21","62.79","49.43","50.57","","CHLOE CURRIE (HRIS & REPORTING ANALYST)","250 to 499","LOVEHONEY LIMITED","False","2024/04/05 00:00:00","2023/04/05 12:16:28"
"Oldham College","17089","Rochdale Road, Oldham, OL9 6AA","OL9 6AA","","1,
85320,
85421","17.08","16.79","","","0","0","25.4","74.6","27.4","72.6","37.6","62.4","52.1","47.9","","","250 to 499","Oldham College","False","2024/03/31 00:00:00","2023/04/04 15:36:34"
"QUEST EMPLOYMENT LIMITED","17755","7 - 9 The Avenue, Eastbourne, East Sussex, BN21 3YA","BN21 3YA","05509015","78200","20.88","1.98","9.69","-8.69","8.58","16.41","49.32","50.68","62.37","37.63","61.15","38.85","57.63","42.37","","Lynn Banks (Finance Director)","1000 to 4999","QUEST EMPLOYMENT LIMITED","False","2024/04/05 00:00:00","2023/04/05 10:52:19"
"SAFRAN LANDING SYSTEMS SERVICES UK LTD","10792","Meteor Business Park, Cheltenham Road East,, Gloucester, Gloucestershire, GL2 9QL","GL2 9QL","03528628","33160","6","18","-36","0","86","95","96","4","93","7","94","6","81","19","","Rachel McGlothlen (HR Director)","250 to 499","SAFRAN LANDING SYSTEMS SERVICES UK LTD","False","2024/04/05 00:00:00","2023/04/06 10:49:23"
"SIVA PLASTICS LIMITED","19010","Spitfire House, Hazel Road, Woolston, Southampton, SO19 7GB","SO19 7GB","02409513","22220","-0.617937948","6.130511467","","","0","0","87","13","88","12","90","10","93","7","","Babna Mehta-Athwal (Payroll manager)","250 to 499","SIVA PLASTICS LIMITED","False","2024/04/05 00:00:00","2023/04/05 15:53:19"
"SUSTRANS","132","2 Cathedral Square, College Green, Bristol, BS1 5DD","BS1 5DD","01797726","74909","6.98","4.38","","","0","0","44","56","33","67","48","52","61","39","https://www.sustrans.org.uk/media/11898/sustrans-2021-22-pay-gap-report.pdf","Tiffany Lam (Strategy Lead - Equity, Diversity and Inclusion)","500 to 999","SUSTRANS","False","2024/04/05 00:00:00","2023/04/05 14:52:48"
"TBG FLEX LIMITED","20569","2 Bristol Avenue, Colindale, London, England, NW9 4EW","NW9 4EW","09842642","82990","4.9","19.14","-1.69","0.00","24.36","47.77","20.87","79.13","35.17","64.83","19.57","80.43","54.34","45.66","","Tony Spaul (Head of Human Resources)","250 to 499","TBG FLEX LIMITED","False","2024/04/05 00:00:00","2023/04/05 13:43:11"
"THE BINDING SITE GROUP LIMITED","12225","8 Calthorpe Road, Edgbaston, Birmingham, West Midlands, B15 1QT","B15 1QT","05508774","72190","14.2","9.4","27.8","0","89.9","89.3","36.1","63.9","40.2","59.8","44.1","55.9","54.6","45.4","","Carla Owen (HR Partner)","500 to 999","THE BINDING SITE GROUP LIMITED","False","2024/04/05 00:00:00","2023/04/05 08:36:40"
"THE CAKE CREW LIMITED","19163","Units 11-12 Enterprise Park, Bala, Gwynedd, LL23 7NL","LL23 7NL","07738348","10720","6","3","-22","0","25","36","60","40","70","30","43","57","45","55","","Terri Roberts (HR Manager)","250 to 499","THE CAKE CREW LIMITED","False","2024/04/05 00:00:00","2023/04/06 10:55:01"
"THE GRACE EYRE FOUNDATION","18641","36 Montefiore Road, Hove, East Sussex, BN3 6EP","BN3 6EP","02806429","55900,
88100","1.9","0","","","0","0","37","63","33","67","38","62","42","58","https://www.grace-eyre.org/who-we-are-how-we-work/our-impact-annual-reports/","Fiona Pritchard (HR Manager)","250 to 499","THE GRACE EYRE FOUNDATION","False","2024/04/05 00:00:00","2023/04/05 09:51:11"
"The National Library Of Scotland","14220","George Iv Bridge, Edinburgh, Edinburgh, City of, United Kingdom, EH1 1EW","EH1 1EW","","91011","-2.45","0.00","","","0","0","60","40","25","75","46","54","38","62","","Janet Stewart (Head of HR)","250 to 499","The National Library Of Scotland","False","2024/04/05 00:00:00","2023/04/06 15:23:27"
"The Nene Education Trust","20648","Mountbatten Way, Raunds, Wellingborough, Northamptonshire, UK, NN9 6PA","NN9 6PA","","","40.5","65.45","","","0","0","9.6","90.4","4.4","95.6","19.3","80.7","30.7","69.3","","","500 to 999","The Nene Education Trust","False","2024/03/31 00:00:00","2023/04/03 08:39:48"
"THE PIRBRIGHT INSTITUTE","12519","Pirbright Laboratory Ash Road, Pirbright, Woking, Surrey, GU24 0NF","GU24 0NF","00559784","72190","10","6","","","0","0","40","60","47","53","53","47","62","38","https://www.pirbright.ac.uk/gender-pay-gap-report-2022","Bryan Charleston (CEO)","250 to 499","THE PIRBRIGHT INSTITUTE","False","2024/04/05 00:00:00","2023/04/05 10:27:19"
"THE TWO COUNTIES TRUST","12611","Ashfield School, Sutton Road, Kirby In Ashfield, Nottinghamshire, NG17 8HP","NG17 8HP","07972029","85310","21.4","36.7","","","0","0","17","83","27","73","29","71","50","50","","","1000 to 4999","THE TWO COUNTIES TRUST","False","2024/03/31 00:00:00","2023/04/05 16:37:44"
"University of Wales Trinity Saint David","20434","Carmarthen Campus, College Road, Carmarthen, Carmarthenshire, SA313EP","SA313EP","","","8.3","2.9","","","0","0","40.3","59.7","41.3","58.7","39.9","60.1","51","49","https://www.uwtsd.ac.uk/media/uwtsd-website/content-assets/documents/strategies-policies/Report---UWTSD-Gender-pay-gap-March-2022-final.pdf","","1000 to 4999","University of Wales Trinity Saint David","False","2024/03/31 00:00:00","2023/03/31 13:19:43"
"VALERO OPERATIONS SUPPORT, LTD","14972","27th Floor 1 Canada Square, Canary Wharf, London, United Kingdom, E14 5AA","E14 5AA","07596574","64209","8.27","5.11","5.7","-8.8","98","100","77","23","85","15","93","7","86","14","https://www.valero.com/careers/working-valero/diversity-inclusion","Andy Kelsey (Director Human Resources & Facilites)","500 to 999","VALERO OPERATIONS SUPPORT, LTD","False","2024/04/05 00:00:00","2023/04/05 14:35:18"
"VWS (UK) LTD","13417","Windsor Court, Kingsmead Business Park, High Wycombe, Buckinghamshire, HP11 1JU","HP11 1JU","00327847","36000","16.48","19","39","0","57","64","69","31","71","29","84","16","82","18","https://veoliawatertechnologies.co.uk/tech-resource/brochure-veolia-water-technologies-gender-pay-gap-report","Beverley Eagle (HR Director - VWS (UK) Ltd)","250 to 499","VWS (UK) LTD","False","2024/04/05 00:00:00","2023/04/05 14:32:53"
"ZANDRA RETAIL LIMITED","21420","61 Hydepark Street, Glasgow, Scotland, G3 8BW","G3 8BW","SC661467","47710","49","16","77","93","19","13","1","99","8","92","4","96","19","81","","Gerard Sweeney (CFO)","500 to 999","ZANDRA RETAIL LIMITED","False","2024/04/05 00:00:00","2023/04/05 16:24:01"
