"EmployerName","EmployerId","Address","PostCode","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","DueDate","DateSubmitted"
"AERO FABRICATIONS LIMITED","21658","Common Lane, Watnall, Nottingham, NG16 1HA","NG16 1HA","02793994","25990","12","10","","","0","0","68","32","78","22","93","7","94","6","","George Magdaleno (Finance Manager)","250 to 499","AERO FABRICATIONS LIMITED","False","2024/04/05 00:00:00","2023/04/05 13:23:55"
"ASSURED GROUP HOLDINGS LIMITED","1533","Heathcote Estate Works, Harriot Drive, Warwick, Warwickshire, CV34 6TJ","CV34 6TJ","06382451","70100","22","0.00","96","85","4","5","82","18","93","7","87","13","83","17","","Sandra Peachey (Group Human Resources Manager)","500 to 999","ASSURED GROUP HOLDINGS LIMITED","False","2024/04/05 00:00:00","2023/04/05 11:23:03"
"BERKHAMSTED SCHOOLS GROUP","1990","6 Chesham Road, Berkhamsted, Hertfordshire, HP4 3AA","HP4 3AA","00622349","85100,
85200,
85310","14.5","24.23","14.49","24.23","54.55","45.45","30.6","69.4","27.2","72.8","23.8","76.2","48.6","51.4","https://www.berkhamsted.com/wp-content/uploads/2023/04/Gender-Pay-Gap-April-2022-reported-March-2023.pdf","Tracey Evans (Chief People Officer)","500 to 999","BERKHAMSTED SCHOOLS GROUP","False","2024/04/05 00:00:00","2023/04/05 17:27:36"
"BIRTENSHAW","16714","Birtenshaw Darwen Road, Bromley Cross, Bolton, England, BL7 9AB","BL7 9AB","02978546","85590,
87900","3","0","","","0","0","26","74","35","65","30","70","26","74","https://birtenshaw.org.uk/about-us/gender-pay/","Kerry Sayers (Executive Director: HR)","250 to 499","BIRTENSHAW","False","2024/04/05 00:00:00","2023/04/06 10:01:12"
"BLACK SWAN INTERNATIONAL LIMITED","23","Chiswick House, 3 Christchurch Road, Norwich, Norfolk, England, NR2 2AD, NR2 2AD","NR2 2AD","02621410","87300","5.9","0.0","57.6","0.0","9.1","3.9","28.4","71.6","16.2","83.8","14.2","85.8","19.2","80.8","https://www.blackswan.co.uk/equality","Tom Lyons (Managing Director)","500 to 999","BLACK SWAN INTERNATIONAL LIMITED","False","2024/04/05 00:00:00","2023/04/05 14:48:25"
"City College Plymouth","3278","Kings Road, Devonport, Plymouth, Devon, United Kingdom, PL1 5QG","PL1 5QG","","1,
85320","7.93","17.93","","","0","0","30.06","69.94","27.61","72.39","44.79","55.21","50.31","49.69","","","500 to 999","City College Plymouth","False","2024/03/31 00:00:00","2023/04/04 10:04:40"
"City of Portsmouth College","21875","Highbury Campus, Tudor Crescent, Portsmouth, Hampshires, PO6 2SA","PO6 2SA","","","16.95","38.52","","","0","0","14.81","85.19","19.02","80.98","36.20","63.80","41.72","58.28","https://www.city-of-portsmouth-college.ac.uk/about-us/our-policies/","","500 to 999","City of Portsmouth College","False","2024/03/31 00:00:00","2023/04/03 11:36:20"
"ContinU Plus Academy Trust","22051","ContinU Plus Academy Trust, Finepoont Way, Kidderminster, DY11 7FB","DY11 7FB","","","0","0","","","0","0","20","80","33","67","62","38","33","67","","","Less than 250","ContinU Plus Academy Trust","False","2024/03/31 00:00:00","2023/03/31 12:27:30"
"CSMA BOUNDLESS LIMITED","19775","Britannia House, 21 Station Street, Brighton, East Sussex, England, BN1 4DE","BN1 4DE","09970817","94990","32","-0.84","61.6","38.1","62","58","15","85","37","63","35","65","52","48","","Andrea Lakos (Chief People Officer)","250 to 499","CSMA BOUNDLESS LIMITED","False","2024/04/05 00:00:00","2023/04/05 09:18:20"
"DUCAS LTD","4293","The Meeting House, Little Mount Sion, Tunbridge Wells, Kent, England, TN1 1YS","TN1 1YS","06126794","82990","-11","-26","","","0","0","37","63","41","59","27","73","25","75","","Simon Bailey (MD)","250 to 499","DUCAS LTD","False","2024/04/05 00:00:00","2023/04/05 15:36:18"
"GREENWOOD & COOPE LIMITED","5720","Brookhouse Mill, Greenmount, Bury, BL8 4HR","BL8 4HR","00200956","13939","4.8","1.3","6.8","-13.4","100","100","87.8","12.2","82.2","17.8","82.2","17.8","85.6","14.4","","Jonathan Hill (Finance Director)","250 to 499","GREENWOOD & COOPE LIMITED","False","2024/04/05 00:00:00","2023/04/06 14:09:32"
"GROSVENOR CLEANING SERVICES LIMITED","16971","Unit 2d Barkers Yard, Skegness, England, PE25 3SR","PE25 3SR","02601775","81210,
81229,
81299","3.6","0","","","0","0","41.1","58.9","49.9","50.1","58.6","41.4","64.8","35.2","https://acrobat.adobe.com/link/review?uri=urn:aaid:scds:US:0f67e4e4-88ab-3ac1-b3ef-c19c5d36d9c7","Nisha Khunkhuna (HR Manager)","250 to 499","GROSVENOR CLEANING SERVICES LIMITED","False","2024/04/05 00:00:00","2023/04/06 13:33:29"
"GUSTO RESTAURANTS GROUP LIMITED","5797","81 King Street, Knutsford, England, WA16 6DX","WA16 6DX","08722610","56101","8.17","5","74","25","17","14","46","54","55","45","72","28","72","28","","Anne-Marie Sarantis (Head of People)","500 to 999","GUSTO RESTAURANTS GROUP LIMITED","False","2024/04/05 00:00:00","2023/04/06 14:08:43"
"HILL CARE 3 LIMITED","19159","91-97 Saltergate, Chesterfield, Derbyshire, S40 1LA","S40 1LA","07602678","87300","-3.28","0","","","0","0.9","8.2","91.8","11.48","88.52","9.84","90.16","8.2","91.8","https://www.hillcare.net/gender-pay-gap-reports/","Ian Mitchell (Finance Director)","250 to 499","HILL CARE 3 LIMITED","False","2024/04/05 00:00:00","2023/04/05 11:03:06"
"HILL CARE LIMITED","6193","93-97 Saltergate, Chesterfield, Derbyshire, S40 1LA","S40 1LA","04168437","86900","4.35","2.17","-371","-43","7.14","3.29","12.7","87.3","18.75","81.25","15.62","84.38","18.75","81.25","","Ian Mitchell (Finance Director)","250 to 499","HILL CARE LIMITED","False","2024/04/05 00:00:00","2023/04/05 10:53:58"
